ts_code,trade_date,lookback_n,is_full_window,open,high,low,close,vol,amount,TR,MA,ATR,Z,adf_pvalue,kpss_pvalue,hurst,adf_ok,kpss_ok,hurst_ok,ou_valid,ou_a,ou_b,kappa,theta,sigma_ou,HL,half_life,steady_std_s,kappa_cv,kappa_mean,kappa_recent_positive,kappa_n_windows,hl_ok,kappa_cv_ok,grid_K,grid_n_layers,grid_spacing,grid_depth_z,grid_depth_ok,mean_reversion_pass,grid_1_buy,grid_1_sell,grid_2_buy,grid_2_sell,grid_3_buy,grid_3_sell,grid_4_buy,grid_4_sell,grid_5_buy,grid_5_sell
600519.SH,2025-06-25,250,True,1387.83,1397.56,1369.89,1384.69,41050.07,5869292.227,27.669999999999845,1399.5800000000002,21.14599999999998,-0.7041520855008093,1.7969461780126696e-06,0.1,0.3043357327161129,True,True,True,True,-0.019145433254223812,0.8883268219014798,0.11841556101921497,-0.1714416440923115,0.7623554243367525,5.853514306683648,5.853514306683648,1.5665278075405147,0.07637714067333691,0.1135496638210914,True,5,True,True,0.25,5,5.286499999999995,1.25,True,True,1394.29,1399.58,1389.01,1394.29,1383.72,1389.01,1378.43,1383.72,1373.15,1378.43
600519.SH,2025-06-26,250,True,1391.31,1404.09,1386.47,1396.23,34860.25,4955829.982,19.399999999999864,1395.3253333333332,21.466999999999974,0.04214220276083291,4.881625823121254e-07,0.1,0.3021602235641152,True,True,True,True,-0.01554134043936875,0.8861061994967379,0.12091847156836692,-0.13645466540493234,0.7642839941585576,5.732351489144006,5.732351489144006,1.554151823236286,0.07637714067333691,0.1135496638210914,True,5,True,True,0.25,5,5.3667499999999935,1.25,True,True,1389.96,1395.33,1384.59,1389.96,1379.23,1384.59,1373.86,1379.23,1368.49,1373.86
600519.SH,2025-06-27,250,True,1396.24,1399.18,1379.6,1379.6,38249.73,5404312.675,19.580000000000155,1390.4513333333334,21.33649999999999,-0.5085807575438108,1.1555626993637305e-06,0.1,0.3006646455078991,True,True,True,True,-0.01575316255444319,0.8823087868056546,0.12521318582638777,-0.1338516455636305,0.7651702689762149,5.535736320302695,5.535736320302695,1.529037217163861,0.07637714067333691,0.1135496638210914,True,5,True,True,0.25,5,5.334124999999998,1.25,True,True,1385.12,1390.45,1379.78,1385.12,1374.45,1379.78,1369.11,1374.45,1363.78,1369.11
600519.SH,2025-06-30,250,True,1380.0,1389.57,1378.53,1385.92,30457.3,4287373.691,11.039999999999964,1387.3026666666667,20.453499999999984,-0.06760049217330227,1.4151819129503772e-06,0.1,0.2995944721330081,True,True,True,True,-0.01546199781432859,0.8847835767336817,0.12241220994410841,-0.13419959911955243,0.7639508918586402,5.662402311635628,5.662402311635628,1.5439672185736426,0.07637714067333691,0.1135496638210914,True,5,True,True,0.25,5,5.113374999999996,1.25,True,True,1382.19,1387.3,1377.08,1382.19,1371.96,1377.08,1366.85,1371.96,1361.74,1366.85
600519.SH,2025-07-01,250,True,1385.41,1388.3,1379.82,1381.58,19878.19,2794423.203,8.480000000000018,1384.5780000000002,20.05899999999999,-0.1494590956677938,1.5794210067381857e-06,0.1,0.2988297025818647,True,True,True,True,-0.015888434043006414,0.8849397104333397,0.12223576009887516,-0.13808790246266014,0.7638975617666115,5.670576106364178,5.670576106364178,1.5449733315493301,0.07637714067333691,0.1135496638210914,True,5,True,True,0.25,5,5.014749999999998,1.25,True,True,1379.56,1384.58,1374.55,1379.56,1369.53,1374.55,1364.52,1369.53,1359.5,1364.52
600519.SH,2025-07-02,250,True,1385.9,1391.12,1376.56,1386.0,26218.25,3689246.316,14.559999999999945,1381.8273333333334,20.11149999999999,0.20747665100398294,1.6725929164712097e-06,0.1,0.298719016615707,True,True,True,True,-0.011321321306891802,0.8813060211344339,0.12635035679452353,-0.09538243991057403,0.7629046287174991,5.485913915440473,5.485913915440473,1.5176338885230314,0.07637714067333691,0.1135496638210914,True,5,True,True,0.25,5,5.027874999999997,1.25,True,True,1376.8,1381.83,1371.77,1376.8,1366.74,1371.77,1361.72,1366.74,1356.69,1361.72
600519.SH,2025-07-03,250,True,1388.36,1398.87,1384.43,1391.9,24412.67,3456733.002,14.439999999999827,1380.82,20.167999999999985,0.5493851646172234,1.0029867691570568e-06,0.1,0.29855728401741405,True,True,True,True,-0.011292403263507441,0.8841133148930361,0.12317004029125449,-0.09744349191699209,0.7613811199218198,5.627563155138151,5.627563155138151,1.534032510956201,0.07637714067333691,0.1135496638210914,True,5,True,True,0.25,5,5.041999999999996,1.25,True,True,1375.78,1380.82,1370.74,1375.78,1365.69,1370.74,1360.65,1365.69,1355.61,1360.65
600519.SH,2025-07-04,250,True,1392.0,1407.92,1386.41,1398.41,28766.91,4086547.268,21.50999999999999,1382.3073333333332,20.47349999999999,0.7865126464291352,6.151417690014303e-07,0.1,0.2990426729519118,True,True,True,True,-0.011392941969242591,0.8860305943521002,0.12100379810178802,-0.09996491518469663,0.7603323362772,5.728309288084263,5.728309288084263,1.5455710061141064,0.07637714067333691,0.1135496638210914,True,5,True,True,0.25,5,5.118374999999998,1.25,True,True,1377.19,1382.31,1372.07,1377.19,1366.95,1372.07,1361.83,1366.95,1356.72,1361.83
600519.SH,2025-07-07,250,True,1398.47,1399.67,1386.41,1387.08,23854.67,3370562.659,13.259999999999991,1383.3393333333333,20.026499999999988,0.1867858420925567,1.129516953378304e-06,0.1,0.29960579991440717,True,True,True,True,-0.014442132190058939,0.8858472583073587,0.12121073792568232,-0.12651585915426092,0.7609551699514283,5.718529500125089,5.718529500125089,1.5455160750502215,0.07637714067333691,0.1135496638210914,True,5,True,True,0.25,5,5.006624999999997,1.25,True,True,1378.33,1383.34,1373.33,1378.33,1368.32,1373.33,1363.31,1368.32,1358.31,1363.31
600519.SH,2025-07-08,250,True,1387.09,1396.23,1387.08,1392.4,18673.7,2643302.691,9.150000000000091,1384.4226666666668,19.654499999999995,0.4058782127926564,1.1713542767158617e-06,0.1,0.30038027453992944,True,True,True,True,-0.014214592001380266,0.8863904953849496,0.12059768576214158,-0.1251179824218439,0.7607787495784936,5.7475993521721485,5.7475993521721485,1.5490801482411354,0.07637714067333691,0.1135496638210914,True,5,True,True,0.25,5,4.913624999999999,1.25,True,True,1379.51,1384.42,1374.6,1379.51,1369.68,1374.6,1364.77,1369.68,1359.85,1364.77
